Company,Symbol,Price,Stock Weighting,Year Entered Dow,Sector,Market Capitalization ,Time of Trading
Walt Disney Co,DIS,99.29,1.31%,1991,Communication Services,"175,894,123,131",3/13/2026 16:00:12
Verizon Communications Inc,VZ,51.38,0.68%,2004,Communication Services,"216,704,557,044",3/13/2026 16:00:02
Home Depot Inc,HD,339.03,4.48%,1999,Consumer Discretionary,"337,508,228,726",3/13/2026 16:00:04
McDonald's Corp,MCD,326.46,4.32%,1985,Consumer Discretionary,"231,916,688,239",3/13/2026 16:00:05
Amazon.com Inc,AMZN,207.67,2.75%,2024,Consumer Discretionary,"2,229,320,816,743",3/13/2026 16:00:02
Nike Inc,NKE,53.98,0.71%,2013,Consumer Discretionary,"79,911,073,662",3/13/2026 16:00:04
Procter & Gamble Co,PG,150.65,1.99%,1932,Consumer Staples,"350,110,585,815",3/13/2026 16:00:52
Walmart Inc,WMT,126.52,1.67%,1997,Consumer Staples,"1,008,385,375,564",3/13/2026 16:00:00
Coca-Cola Co,KO,77.34,1.02%,1987,Consumer Staples,"332,617,823,730",3/13/2026 16:00:05
Chevron Corp,CVX,196.82,2.60%,2008,Energy,"392,731,690,314",3/13/2026 16:00:17
Goldman Sachs Group Inc,GS,782.21,10.34%,2013,Financials,"232,123,092,429",3/13/2026 16:00:03
American Express Co,AXP,299.96,3.97%,1982,Financials,"205,956,699,576",3/13/2026 16:03:02
Visa Inc,V,307.14,4.06%,2013,Financials,"585,411,632,180",3/13/2026 16:00:05
JPMorgan Chase & Co,JPM,283.44,3.75%,1991,Financials,"764,446,756,664",3/13/2026 16:00:04
Travelers Companies Inc,TRV,302.49,4.00%,2009,Financials,"65,409,800,259",3/13/2026 16:00:04
Amgen Inc,AMGN,366.21,4.84%,2020,Healthcare,"197,411,941,189",3/13/2026 16:00:03
UnitedHealth Group Inc,UNH,282.09,3.73%,2012,Healthcare,"256,046,263,097",3/13/2026 16:00:04
Johnson & Johnson,JNJ,241.52,3.19%,1997,Healthcare,"581,728,222,050",3/13/2026 16:00:03
Merck & Co Inc,MRK,115.61,1.53%,1979,Healthcare,"285,833,240,629",3/13/2026 16:00:56
Caterpillar Inc,CAT,693.99,9.18%,1991,Industrials,"322,904,728,783",3/13/2026 16:00:05
Honeywell International Inc,HON,234.5,3.10%,2020,Industrials,"149,065,928,200",3/13/2026 16:00:03
Boeing Co,BA,209.89,2.78%,1987,Industrials,"164,940,880,636",3/13/2026 16:00:04
3M Co,MMM,150.96,2.00%,1976,Industrials,"79,510,635,536",3/13/2026 16:00:07
Microsoft Corp,MSFT,395.55,5.23%,1999,Information Technology,"2,937,207,064,755",3/13/2026 16:00:02
Apple Inc,AAPL,250.12,3.31%,2015,Information Technology,"3,677,439,252,209",3/13/2026 16:00:03
IBM Common Stock,IBM,246.28,3.26%,1979,Information Technology,"231,019,135,514",3/13/2026 16:00:06
NVIDIA Corp,NVDA,180.25,2.38%,2024,Information Technology,"4,380,075,000,000",3/13/2026 16:00:00
Salesforce Inc,CRM,192.83,2.55%,2020,Information Technology,"177,982,033,841",3/13/2026 16:00:06
Cisco Systems Inc,CSCO,78.33,1.04%,2009,Information Technology,"309,395,125,922",3/13/2026 16:00:01
Sherwin-Williams Co,SHW,319.78,4.23%,2024,Materials,"79,101,515,992",3/13/2026 16:00:05
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Total ,7562.29,,,,,
,Median price,238.01,,,,,